method,raw_mean_mean,raw_mean_std,raw_sd_mean,raw_sd_std,centered_mean,centered_sd,paper_ref,n_seeds
MeanDiff,0.8640692641,0,0.0132477435,0,0.9413419913,0.03164469593,,3
KMeans,0.6824314574,0.005138508674,0.0751880694,0.006608970394,0.9340909091,0.04173113021,,3
LogReg,0.9319264069,1.359739956e-16,0.01718838242,0,0.9647186147,0.01980075885,,3
PCA,0.8079004329,0,0.01960040073,0,0.9082251082,0.05306187769,,3
