panel,level,pc1,pc2
raw,negative,-2.836610222,1.375507087
raw,neutral,3.670753277,-0.02336458616
raw,positive,-0.8341430556,-1.352142501
centered,negative,4.580870533,3.624463374
centered,neutral,-4.475473635,-0.274033578
centered,positive,-0.1053968977,-3.350429796
