panel,level,pc1,pc2
raw,negative,-6.544403691,0.9238990861
raw,neutral,4.859312556,-3.515416088
raw,positive,1.685091134,2.591517002
centered,negative,-8.767398242,-2.950505969
centered,neutral,6.167059132,-2.325977787
centered,positive,2.60033911,5.276483756
