intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,51.50166531,0.5603052497,0.5372798587,0.158972722,0.317945444,68.08903323,5.287195058,-0.3731653693
bad-news-delivery,4,23.62295884,1.66613749,1.448444764,0.8234208539,1.646841708,18.05474327,19.93935858,-0.9507608319
complaint,7,18.1477263,1.353871612,-0.7950807399,1.095817028,2.191634056,34.69309495,10.37670466,-0.8222126422
correction,9,13.07526329,0.73035847,0.2531254002,0.6850919839,1.370183968,67.52505314,5.33135456,-0.3822794204
criticism-or-feedback,8,16.90539547,0.5585079024,-0.08956678977,0.5512793005,1.102558601,83.59022919,4.306723447,-0.1116384006
disagreement,6,16.03060642,0.6911669953,0.4351020017,0.5370270604,1.074054121,67.0219394,5.371375452,-0.390378625
inquiry-sensitive,4,15.59186997,0.8170259472,0.5470888591,0.6068156051,1.21363121,55.46932004,6.490074149,-0.5668474476
refusal,8,21.61680935,0.7466303434,-0.3961381922,0.6328755031,1.265751006,64.08908268,5.617181351,-0.4369731851
reminder,6,23.73933455,1.223690455,-0.8988532647,0.830350009,1.660700018,33.64991211,10.69839347,-0.8324388484
request,12,16.01223096,2.023329874,1.351505836,1.505754214,3.011508429,21.391736,16.82892871,-0.9311084338
ALL,72,9.088943215,2.042084778,0.7503431034,1.899235496,3.798470992,25.84950266,13.92676698,-0.8999424026
