step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9414735855,0.001895102575,0.9698539889,0.001005040667,3
neutral-negative,0.9531841635,0.00215319908,0.9760301876,0.001129528657,3
positive-negative,0.8112525078,0.002072067073,0.8957907653,0.001263599472,3
