layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.182466069,0.4271604722,0.09863226062,0.2511908807
2,0.4980094631,0.7056978554,0.2607943399,0.717405478
3,0.4579218246,0.6766992128,0.2682807592,0.6688733495
4,0.4128544537,0.6425375115,0.2268846174,0.6246314334
5,0.3952690634,0.6287042734,0.2001397947,0.6079812015
6,0.3385338811,0.5818366447,0.1192292545,0.5505785427
7,0.3194510416,0.5652000014,0.1129089571,0.521604768
8,0.2846282534,0.5335056264,0.07750725174,0.4767998926
9,0.2638515249,0.5136647982,0.0740126496,0.4527650215
10,0.2539615215,0.503945951,0.08161856389,0.418086416
11,0.2429707066,0.4929205885,0.08255526317,0.3626498751
12,0.251051749,0.5010506452,0.1036790666,0.3673740187
13,0.2553793689,0.5053507385,0.1087027575,0.3832684047
14,0.2487451959,0.4987436174,0.1119032329,0.355673764
15,0.2543411724,0.5043224885,0.1190903956,0.3718174471
16,0.2504020854,0.5004019239,0.1231286033,0.3570250088
17,0.2498157211,0.4998156871,0.130071981,0.3556466458
18,0.2407415909,0.4906542478,0.1338328084,0.331564767
19,0.2388900124,0.4887637593,0.1350266859,0.3336304122
20,0.2529511403,0.5029424821,0.1563790196,0.3537198753
21,0.2538190956,0.5038046205,0.1432717677,0.3525625366
22,0.2520673721,0.5020631156,0.1573944227,0.3351291709
23,0.2610535661,0.5109340134,0.1570690512,0.3590824522
24,0.2590339294,0.5089537596,0.1639713944,0.3471027125
25,0.2663498655,0.516090947,0.1619134466,0.3705558366
26,0.2725656333,0.5220781869,0.1687507,0.3685691368
27,0.2856149067,0.5344295152,0.1995081608,0.3908642105
28,0.2747768421,0.5241916082,0.1906327326,0.3564762256
29,0.2696454018,0.5192739179,0.1920386023,0.3460980731
30,0.2242280751,0.4735272696,0.1233873439,0.3061546082
31,0.223610133,0.4728743311,0.1409280164,0.3072879023
32,0.2196896964,0.4687106745,0.1490946244,0.2958036646
33,0.2256740661,0.4750516457,0.1449485155,0.293971086
34,0.2280736998,0.4775706229,0.1518188509,0.3117218135
35,0.2649496608,0.514732611,0.1589930454,0.387238098
