metric,observed,null_mean,null_sd,null_min,null_max,p_value,n_sim
step_cosine,-0.28896283,0.946294201,0.009818653503,0.9050391291,0.9698192132,0.000999000999,1000
midpoint_residual,0.6608865138,0.08347247505,0.007868808807,0.0624619184,0.115868178,0.000999000999,1000
