level,valence,markedness,se_valence,se_markedness
negative,-7.576821205,-5.690193077,1.285812447,2.855901462
neutral,6.075780022,11.38038615,1.063007727,2.315002695
positive,1.501041183,-5.690193077,0.9795782705,2.144142636
