component,variance_ratio,cumulative
1,0.6742331098,0.6742331098
2,0.05591946969,0.7301525795
3,0.03567150841,0.7658240879
4,0.01823282059,0.7840569085
5,0.01266233335,0.7967192418
6,0.01080507859,0.8075243204
7,0.008903564794,0.8164278852
8,0.008507476118,0.8249353613
