component,variance_ratio,cumulative
1,0.1794504723,0.1794504723
2,0.1054086974,0.2848591697
3,0.06862015529,0.353479325
4,0.04454982442,0.3980291494
5,0.03742491514,0.4354540645
6,0.0292082374,0.4646623019
7,0.0254893548,0.4901516567
8,0.02202437223,0.512176029
