layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.6060021248,0.2686994862,0,3
2,0.5371462784,0.2912391947,0,3
3,0.6065078465,0.3050889586,0,3
4,0.5516062088,0.2872237483,0,3
5,0.5440595486,0.2925304583,0,3
6,0.5806449144,0.2837928889,0,3
7,0.5922093473,0.2960966019,0,3
8,0.6283355392,0.3076340878,0,3
9,0.6306712044,0.305986369,0,3
10,0.6423618651,0.3079673082,0,3
11,0.6522186209,0.3060888718,0,3
12,0.6522341067,0.3015704097,0,3
13,0.6614857431,0.3044321735,0,3
14,0.6572255985,0.3008263407,0,3
15,0.6718597448,0.2964525316,0,3
16,0.6739685241,0.2933084285,0,3
17,0.7143474777,0.300554796,0,3
18,0.7355146801,0.3013525777,0,3
19,0.7220075809,0.2910157511,0,3
20,0.7169808858,0.2912114751,0.0001384667811,3
21,0.7900442068,0.2929624205,0.0001316405379,3
22,0.7948088125,0.2930345317,0,3
23,0.7994173892,0.2958644264,0,3
24,0.8446649605,0.3020554797,0,3
25,0.8333655205,0.2948070741,0,3
26,0.9143250817,0.3590921531,0.01018731447,3
27,0.8579172857,0.3813256488,0.0005810620252,3
