row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.3591579007,0.0006626330954,0.3557058671,0.0007112409498,3
neutral-negative,-0.3591579007,0.0006626330954,1,0,0.9054039242,0.001132937322,3
positive-negative,0.3557058671,0.0007112409498,0.9054039242,0.001132937322,1,0,3
