row,col,cosine_mean,cosine_std,n_seeds
positive-neutral,positive-neutral,1,0,3
positive-neutral,neutral-negative,-0.5603573224,0.0005749273643,3
positive-neutral,positive-negative,0.1608274494,0.0002625990125,3
neutral-negative,positive-neutral,-0.5603573224,0.0005749273643,3
neutral-negative,neutral-negative,1,0,3
neutral-negative,positive-negative,0.825086886,0.001050136626,3
positive-negative,positive-neutral,0.1608274494,0.0002625990125,3
positive-negative,neutral-negative,0.825086886,0.001050136626,3
positive-negative,positive-negative,1,0,3
