component,variance_ratio,cumulative
1,0.1651790974,0.1651790974
2,0.100934246,0.2661133434
3,0.07006583763,0.336179181
4,0.04068904475,0.3768682258
5,0.03259520163,0.4094634274
6,0.02772338537,0.4371868128
7,0.02479599885,0.4619828116
8,0.02420343307,0.4861862447
