metric,pooled_naive_mean,pooled_naive_std,within_scenario,n_seeds
spearman,0.796231138,0,0.8469731406,3
kendall,0.6513677418,0,0.7074638812,3
probe_r2,0.7727353602,0.007986598656,0.8782052135,3
midpoint_residual,0.6698450605,0,0.7114262725,3
pc1_frac,0.7647029033,0,0.7647029033,3
