step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9477316256,2.852997397e-05,0.9731644884,1.504078831e-05,3
neutral-negative,0.9804501125,6.810625069e-06,0.9901285635,3.472878284e-06,3
positive-negative,0.9823827238,1.360278711e-05,0.9911130802,6.922848506e-06,3
