step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.8045042743,0.002368806956,0.8916610916,0.001454889212,3
neutral-negative,0.9191155967,0.0003848403793,0.9578532648,0.0002090030824,3
positive-negative,0.872245806,0.002153633291,0.9317632552,0.001229451338,3
