level,valence,markedness,se_valence,se_markedness
negative,-6.907118958,-5.746149162,0.8772136827,2.938401197
neutral,4.660421211,11.49229832,0.7368381958,2.374596868
positive,2.246697748,-5.746149162,0.6715953578,2.182740768
