metric,pooled_naive_mean,pooled_naive_std,within_scenario,n_seeds
spearman,0.8113264291,1.359739956e-16,0.8948961431,3
kendall,0.6678913701,0,0.7629285443,3
probe_r2,0.7870326225,0.02641911333,0.9182455837,3
midpoint_residual,0.6610418665,0,0.7275573856,3
pc1_frac,0.7145189081,0,0.7145189081,3
