metric,observed,null_mean,null_sd,p_value
spearman,0.8414260758,-0.005971733535,0.1230808395,0.009900990099
kendall,0.7010438727,-0.004696078307,0.09489699381,0.009900990099
probe_r2,0.8532517788,-0.3881497328,0.1727694341,0.009900990099
monotone_fraction,0.8055555556,0.3451388889,0.06790880671,0.009900990099
midpoint_residual_median,0.7168977917,0.8443694794,0.02614435027,0.009900990099
pc1_frac_centroids,0.7821730053,0.5995757531,0.05385623006,0.009900990099
