draw,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
1668,0.6728193936,0.2269475668,0.6333882999,1.2667766,72.25519048,4.982341028,-0.3047780194
1669,0.646779858,0.2153833845,0.6098640688,1.219728138,74.57034639,4.827656266,-0.2660550525
1670,0.6556162873,0.2041279516,0.6230284869,1.246056974,73.89959391,4.871474672,-0.277321463
1671,0.655813446,0.2164012816,0.619081385,1.23816277,73.78024378,4.879354981,-0.2793222093
1672,0.662019372,0.2160898674,0.6257593932,1.251518786,73.25525182,4.914323424,-0.2881084944
1673,0.6353348241,0.2172039419,0.59705342,1.19410684,75.56821742,4.76390753,-0.2492271323
1674,0.6553706665,0.2161181048,0.6187113021,1.237422604,73.82062889,4.876685628,-0.2786453418
1675,0.7221484484,0.2034948857,0.6928839823,1.385767965,68.6028589,5.247594718,-0.3648303268
1676,0.6626263721,0.1796634082,0.6378046479,1.275609296,73.48783039,4.898770287,-0.2842189913
1677,0.7164830775,0.2403788532,0.6749563003,1.349912601,68.68574035,5.24126257,-0.3634830966
1678,0.7220662433,0.2487030369,0.6778838095,1.355767619,68.18211538,5.279976985,-0.3716576401
1679,0.6483027725,0.195021993,0.6182741359,1.236548272,74.60039496,4.825711717,-0.2655494717
1680,0.6394410014,0.141032882,0.6236942524,1.247388505,75.70801193,4.755110996,-0.2468635085
1681,0.6556465823,0.1718915737,0.63271299,1.26542598,74.13020771,4.856319861,-0.2734521275
1682,0.6348856049,0.202131509,0.6018493037,1.203698607,75.72947917,4.753763052,-0.2465004132
1683,0.6026445531,0.1537452776,0.5827030522,1.165406104,79.00810513,4.556494545,-0.1906701313
1684,0.6760280648,0.1771720034,0.6523986707,1.304797341,72.39514104,4.972709422,-0.3024507248
1685,0.6138238495,0.2091190672,0.5771039195,1.154207839,77.60992604,4.638581923,-0.2145661232
1686,0.675552148,0.216134731,0.6400441257,1.280088251,72.129018,4.991056443,-0.3068746343
1687,0.6692096129,0.2465063744,0.6221544128,1.244308826,72.35963685,4.975149346,-0.3030413097
1688,0.6746265518,0.2400425476,0.6304764546,1.260952909,71.97807481,5.001523047,-0.3093809095
1689,0.6764820787,0.2553255479,0.626447817,1.252895634,71.66289199,5.023520402,-0.314607292
1690,0.6205037328,0.1938745129,0.5894383391,1.178876678,77.0976466,4.669403229,-0.2232901536
1691,0.6667891341,0.2168476557,0.6305432923,1.261086585,72.84794147,4.941800588,-0.2949086303
1692,0.6618319428,0.2483105878,0.6134846147,1.226969229,72.96068086,4.934164481,-0.2930278984
1693,0.6695423479,0.2684479586,0.6133699122,1.226739824,72.08529389,4.994083822,-0.3076008534
1694,0.6755848561,0.2028288611,0.6444186146,1.288837229,72.23912353,4.983449167,-0.305045087
1695,0.6763498242,0.2405192344,0.632138895,1.26427779,71.83171061,5.011714144,-0.3118091044
1696,0.6555283878,0.2215635848,0.6169497914,1.233899583,73.75915919,4.88074978,-0.2796755388
1697,0.6273847351,0.2119654542,0.5904932278,1.180986456,76.3306975,4.716320063,-0.2363175829
1698,0.6701256679,0.2761764379,0.6105693949,1.22113879,71.94209859,5.004024168,-0.3099779459
1699,0.6661413574,0.2464899738,0.6188594354,1.237718871,72.61639711,4.957557994,-0.2987676921
1700,0.6666197736,0.2527005892,0.6168665454,1.233733091,72.50974583,4.96484984,-0.3005435709
1701,0.6482158996,0.2206318603,0.6095124566,1.219024913,74.39957123,4.838737563,-0.2689270284
1702,0.6854290573,0.219924318,0.6491889454,1.298377891,71.29408842,5.04950702,-0.3207107187
1703,0.6557127624,0.2811020857,0.5924026031,1.184805206,73.10234163,4.924602851,-0.2906630892
1704,0.694613567,0.2058629059,0.6634067165,1.326813433,70.68720889,5.09285917,-0.3307250852
1705,0.7011816584,0.2458054645,0.6566851542,1.313370308,69.79672437,5.157835174,-0.3453518525
1706,0.6556488019,0.2147332582,0.6194876748,1.23897535,73.80873882,4.877471228,-0.2788446377
1707,0.6727159896,0.2757169935,0.6136179122,1.227235824,71.73265649,5.018634714,-0.3134512674
1708,0.6851306172,0.2518457934,0.6371637615,1.274327523,70.99912491,5.07048503,-0.3255825955
1709,0.6315805859,0.2204617325,0.5918535807,1.183707161,75.87899462,4.744396019,-0.2439705632
1710,0.6702763177,0.2325866171,0.6286285132,1.257257026,72.41179046,4.971566063,-0.3021737345
1711,0.6791886659,0.2482301644,0.6322017316,1.264403463,71.51911459,5.033619363,-0.3169882662
1712,0.6550187895,0.1799607793,0.6298124582,1.259624916,74.13005967,4.856329559,-0.2734546128
1713,0.669895461,0.1896720061,0.6424830416,1.284966083,72.8099123,4.944381728,-0.2955427803
1714,0.6645537861,0.202610201,0.6329145607,1.265829121,73.15491442,4.921063785,-0.2897850143
1715,0.6435394392,0.2058536368,0.6097272259,1.219454452,74.93276657,4.804306801,-0.2599523273
1716,0.677891295,0.2086238552,0.6449904611,1.289980922,72.00269149,4.999813098,-0.3089723178
1717,0.6649498027,0.1900685663,0.6372065444,1.274413089,73.21860554,4.916783069,-0.2887209134
1718,0.698712288,0.2129254307,0.6654784912,1.330956982,70.30587142,5.120482724,-0.3369987789
