row,MeanDiff_mean,MeanDiff_std,KMeans_mean,KMeans_std,LogReg_mean,LogReg_std,PCA_mean,PCA_std,Random_mean,Random_std,n_seeds
MeanDiff,1,0,0.9017890223,0.01605849712,0.5984941868,0,0.8916225954,4.000000331e-10,0.05133936553,0.003999200035,3
KMeans,0.9017890223,0.01605849712,1,0,0.376961361,0.01564781719,0.9929436393,0.001205754699,0.04013332555,0.008928756361,3
LogReg,0.5984941868,0,0.376961361,0.01564781719,1,0,0.3665883042,1.09999998e-09,0.04110968937,0.01376600668,3
PCA,0.8916225954,4.000000331e-10,0.9929436393,0.001205754699,0.3665883042,1.09999998e-09,1,0,0.03927778178,0.008418538267,3
Random,0.05133936553,0.003999200035,0.04013332555,0.008928756361,0.04110968937,0.01376600668,0.03927778178,0.008418538267,1,0,3
