intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,15.10770691,0.678300714,0.42246075,0.5306776549,1.06135531,68.401707,5.26302655,-0.3680968519
bad-news-delivery,4,19.14002823,0.7563617226,0.4900559226,0.5761321446,1.152264289,60.79290124,5.92174403,-0.4879678076
complaint,7,18.31583827,0.817934442,0.2339583178,0.7837603313,1.567520663,61.86998946,5.818653004,-0.4714738594
correction,9,11.64473995,0.9249596079,0.3058817915,0.8729184418,1.745836884,55.25065556,6.515759793,-0.5699873616
criticism-or-feedback,8,11.96907131,0.7906223957,0.3211637759,0.7224524909,1.444904982,62.56250777,5.75424504,-0.4607806397
disagreement,6,13.34042453,0.6417539526,0.1566647389,0.6223377662,1.244675532,75.42230713,4.773123678,-0.2516925781
inquiry-sensitive,4,10.76092444,0.8690945216,0.1408165651,0.857610624,1.715221248,59.49236119,6.051197041,-0.5076532329
refusal,8,13.15101833,0.7243294362,0.2315775605,0.6863125859,1.372625172,68.1893721,5.279415089,-0.3715400557
reminder,6,15.51220789,1.04062802,0.3803865188,0.9686138406,1.937227681,49.3079112,7.301059632,-0.6519937171
request,12,11.67839614,0.6246607661,0.3259995271,0.5328464892,1.065692978,75.25861816,4.783505315,-0.2544564868
ALL,72,9.420699297,0.8257434857,0.4241616896,0.7084766512,1.416953302,58.63558237,6.139616688,-0.5204794512
