layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.194692881,0.1499756071,0.8732230308,0.2916666667,0.7006470065,0.4350353863,1.292929223,0.8848539898,0.8316489272,0.9639900839
2,0.07865919762,0.0591482745,0.8758423721,0.2361111111,0.8591931597,0.4289978213,1.68498507,0.9267896292,0.9070865538,0.978962566
3,0.1098500702,0.08377584787,0.888584781,0.2638888889,0.8146453721,0.4483535408,1.57003463,0.9156426543,0.8910542198,0.9756299147
4,0.1638657504,0.1255585258,0.885134087,0.25,0.837204775,0.4528027393,1.509915258,0.9047111533,0.8737127787,0.9690296661
5,0.16750317,0.1278739387,0.8813160825,0.2638888889,0.8278756832,0.4483991343,1.543201928,0.9065180086,0.8815609138,0.9706028924
6,0.2048776558,0.1539749566,0.9027158438,0.2638888889,0.8193443681,0.4579521685,1.516867416,0.9008409188,0.8738859991,0.9674994394
7,0.246435174,0.1861802448,0.8997051739,0.2777777778,0.8187874985,0.4668503158,1.444868692,0.8936410241,0.8537040723,0.9630364884
8,0.2797175629,0.2125970009,0.9090193504,0.3055555556,0.8129953881,0.4736343924,1.391410535,0.8854339065,0.835619636,0.9585101161
9,0.3064525965,0.2344881772,0.9046206693,0.3194444444,0.7833374701,0.4725183774,1.357538342,0.8778650495,0.8220796547,0.9550616732
10,0.3447364372,0.2639570684,0.8953209151,0.3333333333,0.7801614785,0.4845520683,1.342338732,0.8738442581,0.8188909778,0.9524458152
11,0.3793828583,0.2911105468,0.8944463506,0.3611111111,0.7890807882,0.4730583727,1.313607129,0.8687742607,0.809070589,0.9471196484
12,0.3708349224,0.2841643081,0.8891316095,0.3472222222,0.7930437088,0.4741790514,1.319991406,0.8695129905,0.8086778848,0.9490752268
13,0.3976608916,0.3065817146,0.890423291,0.3472222222,0.7939735486,0.4973220343,1.325178391,0.864244594,0.792909712,0.9460965038
14,0.3838386973,0.29447842,0.8973644549,0.3472222222,0.7857221917,0.4762879881,1.337001254,0.8668346122,0.7980857297,0.9444569009
15,0.4136655375,0.3177377949,0.9073058083,0.3472222222,0.779633552,0.4908256886,1.306710654,0.8611837035,0.7949844471,0.9391481431
16,0.4427648939,0.3380502806,0.9101874348,0.375,0.7762722803,0.5065393961,1.2815292,0.8554909904,0.7874068967,0.9352989754
17,0.521151285,0.4003559363,0.9067912951,0.4444444444,0.7765947848,0.5180542514,1.218937476,0.8438265834,0.7696706861,0.9250992617
18,0.5596169967,0.4324559785,0.9070456843,0.4583333333,0.7649427701,0.5414646754,1.179108253,0.8329994233,0.7498858587,0.9152023212
19,0.5966277406,0.4611881475,0.9110931281,0.4444444444,0.7749232556,0.5458368075,1.133000483,0.8184461391,0.7259386764,0.9025632414
20,0.616815419,0.4771855455,0.9131384922,0.4722222222,0.7766681862,0.5600536457,1.112293534,0.8028237589,0.716326393,0.8839627395
21,0.700930746,0.5486476067,0.8964737801,0.5277777778,0.7613722577,0.5733775679,1.043591728,0.7753208772,0.6921476533,0.8571152057
22,0.7179356823,0.5642240207,0.8906421465,0.5833333333,0.7533592188,0.5965738695,1.03391997,0.7562867743,0.6680301243,0.8358144475
23,0.7343950058,0.5799056806,0.8739015709,0.5972222222,0.7556410324,0.6172780943,1.006400836,0.7402142557,0.6538081977,0.8163264366
24,0.7605844265,0.6079011273,0.8657242193,0.6527777778,0.754508349,0.6336607485,0.9721060276,0.7171970741,0.6429837657,0.7881315631
25,0.7503996517,0.5959030787,0.8696129032,0.6388888889,0.7673430779,0.6462873681,0.9660115927,0.7065371142,0.6317368532,0.7718028639
26,0.7989592026,0.651893972,0.8700143375,0.7222222222,0.8116823617,0.6911274412,0.9001449135,0.6574356705,0.6223878675,0.6984108909
27,0.6963839715,0.5331764389,0.8575073518,0.4166666667,0.8656995425,0.723836243,0.9589170676,0.6950738106,0.6553830229,0.750041191
