row,col,cosine_mean,cosine_std,n_seeds
positive-neutral,positive-neutral,1,0,3
positive-neutral,neutral-negative,-0.9321727848,0.0004065804571,3
positive-neutral,positive-negative,-0.3035512855,0.002035189427,3
neutral-negative,positive-neutral,-0.9321727848,0.0004065804571,3
neutral-negative,neutral-negative,1,0,3
neutral-negative,positive-negative,0.7335874462,0.005604251129,3
positive-negative,positive-neutral,-0.3035512855,0.002035189427,3
positive-negative,neutral-negative,0.7335874462,0.005604251129,3
positive-negative,positive-negative,1,0,3
