row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.1803232626,6.397933831e-06,0.5095044414,5.219793685e-05,3
neutral-negative,-0.1803232626,6.397933831e-06,1,0,0.8249836494,9.501255681e-05,3
positive-negative,0.5095044414,5.219793685e-05,0.8249836494,9.501255681e-05,1,0,3
