panel,level,pc1,pc2
raw,negative,7.02928183,-1.705996661
raw,neutral,-11.66409878,2.305854409
raw,positive,4.634816947,-0.5998577485
centered,negative,7.253432399,-5.269753332
centered,neutral,-11.84584033,2.347768047
centered,positive,4.592407935,2.921985284
