level,valence,markedness,se_valence,se_markedness
negative,-6.04276348,-2.221655063,0.2311283582,0.4590102474
neutral,2.664615683,4.443310126,0.1788724444,0.3740583806
positive,3.378147798,-2.221655063,0.1650146892,0.4408686551
