metric,pooled_naive,within_scenario
spearman,0.8115992356,0.895441756
kendall,0.6682071082,0.7635600205
probe_r2,0.7769886208,0.9155305361
midpoint_residual,0.6608865175,0.7271230984
pc1_frac,0.7147334349,0.7147334349
