panel,level,pc1,pc2
raw,negative,-1.501898114,-1.063790333
raw,neutral,2.212490868,0.7997613564
raw,positive,-0.7105927538,0.2640289762
centered,negative,-1.678665709,1.438217438
centered,neutral,2.346971952,-0.4957191314
centered,positive,-0.6683062426,-0.9424983062
