metric,value
span,9.077862387
midpoint_residual,2.131676228
valence_offset,1.003944502
markedness,1.880462437
markedness_ratio,3.760924875
apex_angle_deg,23.64973949
effective_vertices,15.22215499
step_cosine,-0.9160148341
