dim,e_v,e_m
0,-0.006746523423,0.005146239374
1,7.618120103e-06,0.001508418765
2,0.007640490387,-0.0007787789014
3,0.02596636098,-0.01196053969
4,0.008647049636,0.00032459032
5,-0.0005936434893,0.003505742633
6,-0.001249120254,0.0007046307711
7,0.0008629327268,-0.00352577793
8,0.01333070386,-0.008035783067
9,0.009632266208,0.006720911925
10,-0.006537127465,0.003703953426
11,-0.01189427113,0.01393849042
12,-0.001851618206,0.01025475491
13,-0.0009869641731,0.001243966989
14,0.02756842274,-0.02365840311
15,0.004628368691,-0.005159293151
16,0.005822410177,-0.003492721458
17,-0.006592919339,0.003996429483
18,0.01058413911,-0.002968505165
19,-0.02043433588,0.03244689109
20,0.0006361865796,0.01894495748
21,0.002358469607,-0.001706651719
22,0.005549071642,0.0008878683667
23,-4.90048897e-06,-0.002653920551
24,-0.01214529809,0.001311965296
25,-8.359031142e-06,0.0002850664743
26,0.03172192684,0.003037620274
27,0.003607772019,-0.001753833437
28,0.0004086494817,-0.00669217579
29,0.01196940089,-0.004120505216
30,-0.008528446169,-0.0002768021411
31,0.003395872086,-0.003495692746
32,-0.03124133659,0.0589905468
33,-0.001628749946,-0.002071968289
34,0.008585593275,-0.003299443921
35,0.002832413574,-0.002566401617
36,-0.006004862666,-0.006383435437
37,-0.02327773536,-0.003050471624
38,-0.007514897972,0.007992686406
39,-0.0004031104832,0.01082692008
40,0.0108792677,-0.004432568908
41,-0.01540752727,0.006055546549
42,-0.001151964569,-0.0008056217593
43,-0.004997744745,0.002213071097
44,-0.005771252886,0.002719107296
45,-0.00500645525,-0.0009218513392
46,-0.007876091957,-0.01922981102
47,-0.009747483099,0.004276946734
48,-0.00583098415,-0.000507233026
49,-0.02032462263,0.01922436956
50,-0.001673540542,0.0001050559099
51,-0.001539224759,-0.006455268537
52,0.003298578335,-0.002649303352
53,0.01096186311,-0.004230437858
54,-0.001959265874,0.001334968617
55,-0.009311871412,0.0005550191381
56,0.003120943985,-0.004360638709
57,0.003750066425,0.0002001393425
58,-0.001475392538,-0.004243914046
59,-0.01141905678,0.009400279684
60,-0.002134483116,0.007016406725
61,0.008931240349,-0.004040055684
62,-0.004640017729,0.001437163502
63,0.01559254273,-0.005789084602
64,0.00659926684,-0.002517830636
65,-0.004946714677,0.00307072813
66,-0.02153196397,0.00322474366
67,0.01206938276,-0.005741205792
68,-0.01620743381,-0.01022210912
69,-0.01811304774,0.0138131619
70,0.01962732662,-0.01299617501
71,-0.01446332396,0.00262463236
72,-0.00175043876,-0.0004709126384
73,0.003718848632,-0.003996561872
74,0.007828260144,0.000412143035
75,-0.002522906662,0.002012467175
76,-0.007132861979,0.003871099422
77,0.01644343728,-0.005823624599
78,0.003067772204,7.064466754e-05
79,-0.006032306108,0.001916866257
80,0.005147365323,-0.001792925227
81,-0.007905756666,0.003252681706
82,0.004021102945,-0.001537519637
83,0.00242030553,0.003821786983
84,-0.003648481114,0.007207236802
85,0.02955577449,-0.001155017209
86,0.001633600301,0.001725204653
87,-0.001730679902,0.001371742066
88,0.004922173259,0.0006949762274
89,0.03083321777,-0.02559253625
90,0.002557874319,0.003602011583
91,0.002872698887,-0.003245342397
92,-0.002428105318,0.003154221823
93,0.00794765195,0.0002602517052
94,0.002944511372,-0.004288774222
95,0.01041961887,-0.006498925348
96,-0.06455522518,0.04541317812
97,0.03483245759,-0.01979678682
98,0.003700801136,-0.001381985065
99,-0.05779067886,0.01650042806
100,0.03223413356,-0.01026955582
101,-0.0202924429,0.006776442806
102,0.003865751517,0.001058427575
103,0.006405348857,-0.003355329446
104,0.00320943046,0.001350790276
105,0.004875158666,0.001027801813
106,0.001727211917,-0.00229441345
107,0.01432849701,-0.008834760312
108,0.007128897758,-0.003562603931
109,-0.003923744804,0.003503492193
110,-0.007046711066,0.003702204511
111,-0.02056352453,0.006098014038
112,-0.003709734324,-0.0002858296481
113,-0.01724467397,-0.002580405656
114,-0.006355641957,0.001039591366
115,0.003453586644,0.001810912957
116,0.006073058337,0.002573619928
117,0.01141679885,-0.005352202871
118,-0.007874400805,0.001817943315
119,0.006462377353,-0.000829250075
120,-0.01888562454,0.007681227648
121,-0.002825163317,0.005141756616
122,0.00266704769,-0.0002828610313
123,-0.003676946373,-0.0008271332931
124,-0.009531182623,0.005284968665
125,0.005351663248,-0.005388581625
126,-0.002434983535,0.003222661561
127,-0.01818313268,0.004305641703
128,-0.009069452817,0.001003783339
129,-0.002446541796,-0.002617261778
130,-0.07330264753,0.0303219005
131,0.01897686927,-0.005256747621
132,-0.008709925806,0.005391955297
133,0.0018206064,-0.0002540517815
134,-0.02537475719,0.004390150219
135,-0.008145743195,0.001665603903
136,0.01838261564,-0.000505192396
137,0.003800130947,-0.0005694249975
138,0.0007973688853,-0.003547204277
139,-0.002350382185,0.00546544946
140,0.002023510594,-0.001532670411
141,0.005345178899,-0.0005038690619
142,-0.005127972597,0.006099975675
143,0.07546351719,-0.04706680028
144,-0.03049074782,0.0003744172705
145,-0.04831081677,0.01655601939
146,-0.007049549272,0.002908335298
147,0.001712118919,0.0002977354846
148,-0.01253601526,0.006382783093
149,-0.003311904044,-0.002409250199
150,0.003062562683,-0.001281070929
151,-0.006857359441,-0.002688883132
152,-0.003342945602,0.001932480099
153,-4.677889065e-05,0.0006108098019
154,0.004388067722,-0.004416523745
155,0.02049444258,-0.01320170852
156,-0.003117447668,-0.0006853945153
157,-0.0445669332,0.01889473484
158,-0.0007118986674,0.0007081643439
159,-0.004405821519,0.003217341527
160,0.004848042746,0.00817975084
161,0.004093929935,0.007699523353
162,-0.004242324515,0.0008473433468
163,-0.003466668633,-0.003809151208
164,0.01443625757,-0.005276032036
165,0.01448728968,-0.007218781276
166,-0.01212578219,0.007954298798
167,0.01108603158,-9.96973896e-05
168,0.0004881361298,-8.595937146e-05
169,0.0009235383084,0.004215325403
170,0.004426368903,-0.00272567118
171,0.01648599017,-0.001320543107
172,0.01013968088,-0.01028800672
173,0.008182653212,0.01013672321
174,0.01503997373,-0.001822198393
175,0.0003725666269,-0.00130327555
176,0.008154897868,-0.004327517253
177,-0.004422994031,0.005608414549
178,-0.0001707815266,-0.001877034353
179,-0.0115752559,0.003974842404
180,0.0234225652,-0.02642821267
181,8.091643823e-07,0.003143142625
182,-0.0048676698,-0.0004426104073
183,-0.01184471172,0.003307783592
184,-0.0408088877,0.006348218147
185,0.0048221228,-0.00289529767
186,0.007162554203,0.002489890344
187,0.005082593444,0.001372411721
188,-0.01078504768,-0.0001339031753
189,0.002104493053,0.00157010481
190,-0.05542206576,0.02056648432
191,-0.008584317331,0.003918911137
192,0.00184093932,0.004124802763
193,-0.0111631451,0.003901936555
194,0.002481339123,-0.0027970677
195,0.003215841259,0.004174526635
196,0.008298167584,-0.005226493513
197,-0.004661128052,0.002915720754
198,0.01265460795,-0.0001795622985
199,-0.02561547919,0.01411506042
200,0.001080681031,-0.001490838697
201,-0.001547008504,-0.000346696565
