level,valence,markedness,se_valence,se_markedness
negative,-10.84375598,-6.771269309,2.342410355,5.509083513
neutral,7.257587263,13.54253862,2.299127635,5.431520982
positive,3.586168716,-6.771269309,2.384659803,5.668154518
