metric,observed,null_mean,null_sd,p_value
spearman,0.3838386973,-0.01689217636,0.1207377098,0.009900990099
kendall,0.29447842,-0.01289263991,0.0932213798,0.009900990099
probe_r2,0.8973644549,-0.5794178988,0.185451447,0.009900990099
monotone_fraction,0.3472222222,0.2016666667,0.04110072062,0.009900990099
midpoint_residual_median,0.7857221917,0.8166964214,0.07994857659,0.3663366337
pc1_frac_centroids,0.8718791718,0.867662332,0.1055985061,0.603960396
