perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
0,0.05501597059,0.04262464622,-0.4423174799,0.1944444444,0.7147150437,0.9198548531
1,-0.115579006,-0.09009061028,-0.9432947181,0.2361111111,0.8023675379,0.8699699016
2,0.05947180953,0.04609776554,-0.7509788259,0.1805555556,0.7147150437,0.8965903522
3,-0.02209732372,-0.01673412037,-0.4971221154,0.2222222222,0.7880669764,0.8826466583
4,-0.1053032958,-0.08209191123,-0.2185858525,0.2638888889,0.8054025484,0.9568534334
5,-0.08375158498,-0.06430533047,-0.5943989016,0.2083333333,0.8050717008,0.9338056625
6,-0.07647674589,-0.05946401262,-0.5450236289,0.1944444444,0.8352470216,0.678081523
7,0.1617742342,0.1237693431,-0.4976319003,0.2361111111,0.765176636,0.961200985
8,0.07793171371,0.05872729034,-0.5556981393,0.1666666667,0.8331613311,0.9686870779
9,0.03109993709,0.02389085109,-0.5783978678,0.1666666667,0.8050717008,0.8762674163
10,-0.1405862653,-0.1073509608,-0.5595365717,0.2083333333,0.9317265179,0.7222130345
11,-0.1434052655,-0.1095611277,-1.017353395,0.1805555556,0.8306381089,0.9813705244
12,0.1592280405,0.1227168827,-1.011300227,0.2222222222,0.796125837,0.9572917347
13,0.06238174516,0.04778170218,-0.4734004047,0.1666666667,0.9120266109,0.9444126421
14,0.1917829454,0.1465024877,-0.4042089887,0.1527777778,0.9120266109,0.9816504561
15,0.007274839086,0.005367548042,-0.5949664199,0.2222222222,0.88708897,0.8691482245
16,0.01554996855,0.010524604,-0.3804553094,0.1666666667,0.8292058499,0.8210746926
17,0.02318854959,0.01726035057,-0.6261713639,0.1527777778,0.7886102939,0.9372622787
18,0.1134874897,0.08945913404,-0.4532273141,0.2916666667,0.6999091753,0.9137625651
19,-0.1304014906,-0.1016676747,-0.6411391419,0.25,0.8458026891,0.5404336734
20,0.03400987273,0.02631151001,-0.5352743928,0.1805555556,0.765176636,0.8801923593
21,0.02273387214,0.01926002533,-0.5418385247,0.2222222222,0.826484407,0.8590226915
22,0.06692851959,0.05199154378,-0.5357518279,0.2222222222,0.7406997163,0.9307279041
23,0.131583652,0.102509643,-0.4402322831,0.2083333333,0.8133956306,0.9231275369
24,0.04646803466,0.03588889965,-0.8903201404,0.1944444444,0.8331613311,0.8964517759
25,0.1158518124,0.0930374994,-0.3976452779,0.1944444444,0.7862655092,0.9340452048
26,-0.1164883609,-0.08861716572,-0.652383973,0.1805555556,0.8936891563,0.9608244441
27,-0.01773242027,-0.01241903272,-0.7433344861,0.2361111111,0.7862655092,0.9500954103
28,-0.1930560423,-0.1501860991,-0.9509990872,0.2222222222,0.7674000551,0.6900349612
29,-0.1247634903,-0.09661586476,-0.6532157564,0.2083333333,0.7016276367,0.8685742615
30,0.09439103714,0.07188304535,-0.6266714716,0.1527777778,0.8119633716,0.9543082762
31,0.1497707497,0.1151391678,-0.4329912037,0.1944444444,0.8707115408,0.9478331997
32,0.1156699415,0.09114307068,-0.3185021723,0.2361111111,0.7265771219,0.9527047549
33,-0.1938744616,-0.1493441308,-0.4845059934,0.1944444444,0.8095254932,0.7877735176
34,-0.1212170063,-0.09430045188,-0.666405274,0.1527777778,0.8478707004,0.7778547505
35,0.07156622951,0.05567515518,-0.3122972083,0.1805555556,0.8814847724,0.8591415429
36,0.1664119441,0.126084756,-0.4315478837,0.2638888889,0.9000037716,0.983777282
37,0.08557029475,0.06651549731,-0.8991021594,0.2083333333,0.755480944,0.9163291435
38,-0.08811648843,-0.06840992603,-0.5922396235,0.2222222222,0.8478707004,0.9062398071
39,-0.1791429125,-0.139345757,-0.5152729905,0.2916666667,0.7766460094,0.8660614066
40,0.1899642356,0.144608059,-0.7276268177,0.1944444444,0.8458026891,0.9760812543
41,0.08875303685,0.06998861663,-0.7376963014,0.25,0.7455507621,0.9412656339
42,-0.03464642115,-0.02578527981,-0.7868088496,0.25,0.9528017375,0.7200064196
43,-0.1767785898,-0.1363988679,-0.9416703103,0.1666666667,0.7806980837,0.6622430246
44,-0.1575002662,-0.1211381921,-0.4321673008,0.1527777778,0.9412724173,0.6995290125
45,-0.2401606253,-0.1861802448,-0.6656265422,0.1805555556,0.7946585567,0.9632540157
46,-0.1370397813,-0.1055617782,-0.6716123766,0.1805555556,0.9591395478,0.6516366129
47,0.02982684025,0.02336462089,-0.9045480395,0.1805555556,0.8653210516,0.9192127464
48,0.0445583894,0.03515217737,-0.4270448337,0.2222222222,0.7226281236,0.8527676745
49,0.1068491991,0.08335486371,-0.3975784151,0.1805555556,0.9326413774,0.9610143279
50,0.08647964964,0.06619975919,-0.6007960679,0.2361111111,0.7657199535,0.8969736098
51,-0.1958750424,-0.1483969165,-0.6805237859,0.2222222222,0.7652073931,0.9565087452
