metric,value
span,14.37768826
midpoint_residual,0.7248600449
valence_offset,0.3360542423
markedness,0.6422535566
markedness_ratio,1.284507113
apex_angle_deg,66.78855601
effective_vertices,5.390144982
step_cosine,-0.3941254856
