step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.7567557023,0.003462721029,0.8615348261,0.002246548315,3
neutral-negative,0.8889015112,0.0007497499669,0.9411834348,0.0004203147462,3
positive-negative,0.8806951369,0.0005461576763,0.9365633625,0.0003088553407,3
