method,raw_mean_mean,raw_mean_std,raw_sd_mean,raw_sd_std,centered_mean,centered_sd,paper_ref,n_seeds
MeanDiff,0.7913624045,0,0.03756901534,0,0.9334878401,0.01758318876,,3
KMeans,0.5153325942,0.001374643509,0.01755937373,0.0007705448444,0.905268539,0.02943427598,,3
LogReg,0.8670416711,0,0.03573615815,0,0.9650710942,0.02021432639,,3
PCA,0.5355184247,0,0.03958808649,0,0.8980095379,0.02974957118,,3
