metric,pooled_naive_mean,pooled_naive_std,within_scenario,n_seeds
spearman,0.7426701352,0,0.77240604,3
kendall,0.591272253,0,0.6211621283,3
probe_r2,0.7023132258,0.04286540273,0.8316152618,3
midpoint_residual,0.8015803829,0,0.7491229548,3
pc1_frac,0.7516866447,0,0.7516866447,3
