intent,n,span,midpoint_residual,valence_offset,markedness,markedness_ratio,apex_angle_deg,effective_vertices,step_cosine
apology,8,64.52404605,0.6031977074,0.2591303514,0.5447007759,1.089401552,78.19460252,4.603898331,-0.204588264
bad-news-delivery,4,75.8920278,0.6451574261,0.3811169218,0.5205554691,1.041110938,72.29024475,4.979925041,-0.3041952579
complaint,7,71.1709987,0.7594453874,0.1754696879,0.7388962613,1.477792523,66.14385913,5.442682128,-0.4044416193
correction,9,52.50617647,0.7350417693,0.1856764057,0.7112036803,1.422407361,67.79657767,5.310002545,-0.3778960892
criticism-or-feedback,8,56.5628708,0.7280354387,0.2266280961,0.691863647,1.383727294,67.96408953,5.296914922,-0.3751876377
disagreement,6,62.39545074,0.560329627,0.2174189523,0.5164283978,1.032856796,82.93881657,4.340549032,-0.1229291664
inquiry-sensitive,4,65.97854099,0.597071932,0.07652434606,0.592147715,1.18429543,79.80462057,4.511016999,-0.1770053701
refusal,8,66.55676991,0.6488544907,0.2803455614,0.5851653752,1.17033075,73.70921719,4.884056753,-0.2805123011
reminder,6,73.51671157,0.6613398328,0.2342501621,0.6184636093,1.236927219,73.14523634,4.921714906,-0.2899466767
request,12,56.80780842,0.5108752705,0.2508417405,0.4450527646,0.8901055292,88.58498689,4.063894037,-0.02469412726
ALL,72,45.10670172,0.613357487,0.2970198065,0.5366438684,1.073287737,76.76572609,4.689592847,-0.2289332169
