method,raw_mean_mean,raw_mean_std,raw_sd_mean,raw_sd_std,centered_mean,centered_sd,paper_ref,n_seeds
MeanDiff,0.7873439975,0,0.04412503568,0,0.9197786225,0.04328246659,,3
KMeans,0.5065054729,0.001408171394,0.01647350413,0.0003998049116,0.9006495266,0.04214414056,,3
LogReg,0.879178721,0,0.04826297455,0,0.9597518741,0.02183665804,,3
PCA,0.5042301059,0,0.01805776207,0,0.8984348714,0.03807954339,,3
