layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.7371972378,0.2955164386,0,3
2,0.799984289,0.2931322192,0,3
3,0.8571276639,0.2865573151,6.506407082e-10,3
4,0.8970914026,0.3011314016,3.534119408e-09,3
5,0.8878343642,0.3096490429,4.509249572e-10,3
6,0.8763790977,0.3111004722,9.833785302e-09,3
7,0.9189450702,0.331753058,4.047620702e-08,3
8,0.9260352574,0.3692804095,6.633221943e-08,3
9,0.9502541888,0.3475769077,2.67145023e-07,3
10,0.9453761401,0.3615590416,7.181172142e-08,3
11,0.9404980913,0.3457238375,0.0159605956,3
12,0.948044954,0.3547875931,2.553655615e-07,3
13,0.9500927577,0.4724041839,0.1151987747,3
14,0.9382377621,0.2327061879,6.568457455e-08,3
15,0.9308682216,0.1858903941,3.328007412e-08,3
16,0.9405662471,0.1622807115,4.259933489e-08,3
17,0.9288018259,0.1765808099,2.649911947e-08,3
18,0.9387776292,0.089219533,0.01808117735,3
19,0.9238598979,0.5568397082,0.0002383704343,3
20,0.9186007122,0.5714405366,0.006230689712,3
21,0.9163175143,0.5682882977,0.002563437243,3
22,0.9111459993,0.5425978958,0.0005256710404,3
23,0.9063813935,0.5795316817,0.004801847255,3
24,0.9134291972,0.5497876306,0.006048629622,3
25,0.9087069749,0.5752022738,0.00707642327,3
26,0.9085426402,0.5425068122,0.008613145746,3
27,0.830451116,0.4016630462,0.0007956035088,3
