method,raw_mean,raw_sd,centered_mean,centered_sd,paper_ref
MeanDiff,0.9042207792,0.01868255033,0.9765151515,0.01053514591,
KMeans,0.6933982684,0.1577310317,0.9741341991,0.01385281385,
LogReg,0.9626623377,0.01290558891,0.9953463203,0.009307359307,
PCA,0.7322510823,0.1075184723,0.9693722944,0.01637600028,
