sim,step_cosine,midpoint_residual
0,0.9303171789,0.09511088517
1,0.9224296792,0.100450273
2,0.9365797252,0.09061012961
3,0.9218291817,0.1016435342
4,0.9169058174,0.1044108814
5,0.9205359623,0.1017294413
6,0.9082568948,0.1107142919
7,0.9369440915,0.09096461705
8,0.9147640915,0.1070724015
9,0.9385474014,0.09073377972
10,0.9296430593,0.09551693881
11,0.9170344382,0.1042000826
12,0.9143409586,0.1057746267
13,0.9095545726,0.1118104677
14,0.9233467061,0.09981952584
15,0.9241018574,0.09932172028
16,0.9263681308,0.09786217134
17,0.9160567604,0.1053325056
18,0.9192202884,0.1028725073
19,0.921303811,0.1047741658
20,0.911836059,0.1094798712
21,0.9189315445,0.1050936632
22,0.9350114574,0.09179988258
23,0.9267121846,0.09860703444
24,0.9229217807,0.1007003891
25,0.9251032789,0.09864481097
26,0.9265264744,0.09845296614
27,0.93372354,0.09318625024
28,0.9300716998,0.09665666639
29,0.9307248479,0.09520758833
30,0.9120714777,0.1075299018
31,0.9377052308,0.09044423448
32,0.9002676524,0.115455583
33,0.9316987996,0.09416124654
34,0.9085557085,0.1100894069
35,0.9122392285,0.10862205
36,0.9163425795,0.1062276004
37,0.8984084507,0.1160209166
38,0.922274211,0.1005506676
39,0.9273253132,0.0981064112
40,0.9356386892,0.09129044581
41,0.9395505951,0.08827490706
42,0.905760515,0.1113527577
43,0.9520950033,0.07914746894
44,0.9196656981,0.1027337983
45,0.927681752,0.09712427634
46,0.9299961579,0.09570055709
47,0.9179353734,0.1042212804
48,0.8908519311,0.1218588433
49,0.929883477,0.09704819138
50,0.8965889504,0.1170310102
51,0.9155640673,0.1052528187
52,0.9257482262,0.09841930931
53,0.9282891792,0.09722325874
54,0.9186784172,0.1042308924
55,0.9444842865,0.08490046961
56,0.9081076693,0.1114033293
57,0.9205148195,0.1022238109
58,0.9285184192,0.09650890178
59,0.9005440052,0.1175690436
60,0.9367796878,0.09065341599
61,0.9312328102,0.09695459773
62,0.9129325455,0.1067222898
63,0.9307318225,0.0947081024
64,0.931172009,0.09488697106
65,0.9162201339,0.1045943857
66,0.8884740076,0.1226310448
67,0.9220614417,0.1006865754
68,0.8965491988,0.1167813888
69,0.9130668598,0.1079769183
70,0.8914772694,0.1197938296
71,0.9224314163,0.1006334641
72,0.9237031403,0.1001165044
73,0.9357817271,0.09145044219
74,0.8873291553,0.1236140305
75,0.9364320713,0.0945008831
76,0.8938334901,0.1183931001
77,0.9138502391,0.1067032756
78,0.9313975171,0.09439667495
79,0.9390578581,0.09057336838
80,0.935004657,0.09335136607
81,0.9099289755,0.1087477025
82,0.911733914,0.1093904455
83,0.9262629023,0.09784443962
84,0.8698538721,0.1364188004
85,0.9076528947,0.1101219593
86,0.9030311011,0.1128969759
87,0.9315347109,0.09415300095
88,0.9129314771,0.107016247
89,0.943154084,0.08634732263
90,0.9307989128,0.09606804701
91,0.9345082176,0.09287398155
92,0.9258865498,0.09842983816
93,0.9262797018,0.09802637231
94,0.8918278325,0.1209751957
95,0.9218741134,0.1010083178
96,0.932088269,0.09374715603
97,0.8972133901,0.1196184431
98,0.9020807863,0.113800585
99,0.919098591,0.1059884947
100,0.9008863493,0.1142183144
101,0.9196636018,0.104118959
102,0.9126301496,0.1069669467
103,0.9261813391,0.09793507399
104,0.9203921171,0.1025847289
105,0.9221967662,0.1015501284
106,0.8878239134,0.1223565017
107,0.9412929023,0.08714991417
108,0.9353201211,0.09145869443
109,0.9208182199,0.1015505113
110,0.9402639542,0.08960354038
