dim,e_v,e_m
0,0.020101511,0.03111532885
1,0.01096051008,-0.01840181597
2,0.02112117596,0.001637420594
3,-0.02745823566,-0.006183670005
4,0.006566202421,-0.03283963585
5,0.02345174575,-0.01940279014
6,-0.01855865655,0.02493777395
7,0.003834745215,0.02791347529
8,-0.0131792907,0.004770275177
9,-0.00969428602,0.03508390857
10,0.002588731351,0.02507371248
11,-0.01402035778,-0.006708186433
12,-0.004459261911,0.03328939208
13,0.0429603529,-0.00436269073
14,0.00787562857,0.01171675723
15,-0.0134016923,0.002304673107
16,-0.009337215069,-0.00945604273
17,-0.005588586635,0.01042847635
18,-0.03821310851,0.005639773402
19,-0.001089981632,0.008394838966
20,0.02941647372,0.006698386223
21,-0.01595378712,-0.006588018946
22,0.0007797469055,-0.007096416143
23,0.007967320846,-0.01852828771
24,0.02226603776,-0.02601745239
25,0.001936988001,-0.01639923216
26,0.027412427,0.008966327246
27,-0.01429365474,-0.01633174059
28,-0.003990727735,0.003675863026
29,0.004999441081,0.004848103432
30,0.04722480297,0.003230861747
31,0.005674790919,-0.001416040016
32,-0.004769697299,0.02043479286
33,-0.02181812685,0.0357888341
34,0.01585076813,-0.06420136562
35,0.002047750073,0.004419993084
36,-0.01350864565,0.01602611882
37,0.02255301755,0.001811479117
38,-0.004678932282,-0.001933318593
39,0.0228369898,0.008190914295
40,-0.009275168714,-0.01658179707
41,0.008889605168,-0.002679278772
42,0.01243823525,0.01492719041
43,-0.01863403541,-0.002033465509
44,0.01280457807,0.004982531227
45,-0.03365654167,0.004143062799
46,-0.01762710018,-0.01392477233
47,-0.01973754892,0.01145835465
48,0.003515025299,-0.02522453518
49,0.008089660614,-0.01268355369
50,0.005099478157,0.0226547713
51,-0.004873142331,0.01816914282
52,-0.00623667794,-0.05744133465
53,0.01857649925,-0.01213848111
54,-0.003187374445,0.01528043656
55,-0.02276291492,0.01917829995
56,-0.00774023296,0.02623098588
57,0.002587377978,0.005856245687
58,-0.01166461541,0.008842411491
59,0.002809103272,0.003947360361
60,0.006698365349,-0.001442392621
61,-0.01965675763,0.02025610571
62,-0.02213249656,-0.001284624512
63,-0.01037632668,-0.0003843207163
64,0.03308776972,0.000325400903
65,-0.00726395499,-0.02975299653
66,0.02577965985,-0.000162035744
67,-0.003715638193,0.01521969027
68,0.02169789212,0.02414083638
69,0.01255734235,-0.02037675142
70,-0.005100580766,-0.01178467748
71,-0.01558461267,-0.01704362786
72,0.02289712001,-0.003641472388
73,0.01834885981,-0.01724401522
74,0.002414518932,-0.001001514621
75,0.0293505675,-0.03486363482
76,0.01802043202,-0.008369173648
77,-0.02961371576,-0.01661543489
78,-0.03526121731,-0.009017654879
79,-0.008485598457,-0.0009169420586
80,0.002515558336,0.005817732268
81,0.01408871953,-0.04868210283
82,-0.01608334413,0.01707038412
83,-0.007151087709,0.02402907388
84,-0.002621158353,-0.01078532047
85,-0.0369599405,-0.02914134959
86,-0.004332561765,0.002297609468
87,-0.02647024585,0.01497733817
88,-0.007563865005,0.003022220167
89,-0.005463841091,0.009253539539
90,0.0564663925,0.003138237308
91,0.007172538187,0.004478880757
92,0.01670611891,-0.003295314255
93,0.01637657562,-0.008034830568
94,-0.01248056063,-0.01311085408
95,-0.006035119437,-0.003727492615
96,0.004284748721,0.005792962261
97,-0.01448470725,-0.008789631016
98,-0.004526721573,-0.01682631937
99,-0.02711792964,-0.00960320737
100,-0.004615932807,0.02208935717
101,0.004517098892,-0.02022887783
102,0.03201883708,-0.004372293265
103,-0.0009074494557,0.003620123376
104,-0.01399645087,-0.0003680906413
105,-0.03189344053,0.003882013099
106,0.02286686096,0.02775144643
107,0.007569478566,0.01186628791
108,-0.007416366204,0.02750195098
109,0.01436341998,-0.01604875215
110,-0.004060367056,-0.0002755330508
111,-0.003361937909,0.006107657967
112,0.002232838514,0.03197793119
113,-0.1096910073,0.09369595387
114,-0.007992830882,0.00756817411
115,0.01023581885,-0.01555931587
116,-0.01706258813,0.02500944837
117,0.01744421645,-0.027034518
118,-0.004238038135,0.003446069547
119,0.007090794788,-0.01529773954
120,-0.01854840747,0.005127140935
121,-0.02454463448,-0.009892459559
122,0.02173397756,0.01944013013
123,-0.006124481075,-0.00181379109
124,0.006603916502,0.02234865788
125,-0.07269147778,-0.02552328755
126,0.02094691326,0.006619056055
127,0.01606946088,-0.01392908263
128,0.009272562229,-0.00755839713
129,-0.01105791585,0.02454620507
130,0.02994091598,0.009009257859
131,0.03208569583,-0.004852726151
132,-0.01997145265,-0.006188830198
133,-0.007316529627,-0.01953482434
134,0.01247645095,0.007556144993
135,0.02916287317,0.01572979707
136,-0.002881123918,-0.0006486048394
137,-0.009942925037,-0.02430397321
138,0.03116501583,-0.00918122681
