step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9058201811,4.629557374e-05,0.9505830505,2.549224963e-05,3
neutral-negative,0.9502373541,2.961597843e-05,0.9744838001,1.557346335e-05,3
positive-negative,0.960080393,4.209464551e-05,0.9796336886,2.191312396e-05,3
