step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9565451602,1.798943714e-05,0.9777900144,9.39876185e-06,3
neutral-negative,0.9791964883,1.699433336e-06,0.9894889104,8.676923591e-07,3
positive-negative,0.9840079582,6.637246728e-06,0.9919395274,3.37233301e-06,3
