row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.3587753703,0.0006629852503,0.3563615472,0.0007171788812,3
neutral-negative,-0.3587753703,0.0006629852503,1,0,0.9055981759,0.001153920524,3
positive-negative,0.3563615472,0.0007171788812,0.9055981759,0.001153920524,1,0,3
