row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.1572485277,1.10312101e-06,0.4424725995,3.610196519e-06,3
neutral-negative,-0.1572485277,1.10312101e-06,1,0,0.8394237369,6.677724201e-06,3
positive-negative,0.4424725995,3.610196519e-06,0.8394237369,6.677724201e-06,1,0,3
