layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.1457695882,0.1070352227,0.8610764324,0.2638888889,0.7446868797,0.442077305,1.409841212,0.889208946,0.8553166187,0.9558456872
2,0.002273387214,-0.0007367222803,0.8626829428,0.2222222222,0.8276085665,0.4528202701,1.781016049,0.9337955203,0.9152690592,0.9786862695
3,0.02400696898,0.01652362829,0.878500136,0.2222222222,0.8242487589,0.4449310841,1.620758494,0.9228125926,0.9015991793,0.9746833834
4,0.04546774429,0.03199479617,0.8759919359,0.2361111111,0.8342751212,0.4642762921,1.609366438,0.9124322302,0.8828298208,0.9716772995
5,0.04719551857,0.03325774865,0.8845278973,0.2222222222,0.8340427033,0.4671861943,1.562879147,0.914793742,0.8823310573,0.9720591964
6,0.0820238107,0.05893778242,0.8993541712,0.2222222222,0.8291387415,0.4682339215,1.551989505,0.9108289998,0.8734599083,0.9691601989
7,0.1104866186,0.08051322063,0.9025916829,0.25,0.8381021787,0.4681614769,1.539650338,0.9034097326,0.8685892127,0.9657280914
8,0.1422231041,0.105035548,0.9092313355,0.25,0.8291118732,0.474532516,1.53541347,0.8948668109,0.8601988991,0.9613293739
9,0.1786882351,0.1316627961,0.8974489188,0.2777777778,0.811519599,0.4817898986,1.44744142,0.8875853959,0.8504654052,0.9565942341
10,0.2118796884,0.1569218457,0.8965140144,0.2916666667,0.8049287099,0.4902166224,1.388761471,0.8842180498,0.8444706559,0.9552634006
11,0.2501635291,0.1860749988,0.9011920814,0.2916666667,0.8160294548,0.4655493956,1.360996704,0.8782234248,0.8326711846,0.9500014901
12,0.2416155932,0.178813022,0.9025577465,0.2916666667,0.8201526621,0.4819026538,1.39899913,0.8789238629,0.8318821848,0.9518384994
13,0.2687143687,0.2005989523,0.9012195074,0.2916666667,0.8138546419,0.4988471129,1.334895886,0.8734234684,0.8208976452,0.9505551771
14,0.2635310459,0.1962838647,0.9057893407,0.2916666667,0.8047411884,0.4871652672,1.365654574,0.8758721935,0.8291923894,0.9496085769
15,0.2934488216,0.2185960252,0.9145637093,0.3055555556,0.8264349073,0.4886099882,1.332157454,0.86980537,0.8279510677,0.9463332385
16,0.3287317912,0.2461704877,0.9165240987,0.3055555556,0.8030245585,0.4811660686,1.331698755,0.8656633638,0.8149210703,0.9429836553
17,0.3942962785,0.2974253092,0.9130427864,0.3194444444,0.7882465033,0.4915464213,1.29540303,0.8555445404,0.798493925,0.9323858791
18,0.4308523449,0.3280519068,0.9138093793,0.3472222222,0.7811064617,0.5122196431,1.284245135,0.8457883016,0.7856453535,0.9249261147
19,0.481867154,0.3660457273,0.9135877689,0.3888888889,0.7712655762,0.5275579412,1.225229277,0.8314587408,0.7497190313,0.9119852131
20,0.501418284,0.3806749268,0.9129430387,0.4027777778,0.7571610402,0.5509306401,1.177191254,0.8165627678,0.7301729926,0.9002865163
21,0.5945362243,0.4570835519,0.9008544314,0.4583333333,0.7518218832,0.5525324499,1.0849295,0.7891723989,0.7144217426,0.8751394482
22,0.6230899677,0.4812901411,0.9003092303,0.4583333333,0.7571582242,0.5753896857,1.063394659,0.7687730534,0.6800572191,0.8543217921
23,0.6546445823,0.509811818,0.88548087,0.5,0.7562947123,0.5961511931,1.021834743,0.7515146029,0.6675842579,0.8278449431
24,0.7120248756,0.5606456553,0.886096329,0.5555555556,0.7678047749,0.6350428556,0.9777752494,0.7279687891,0.6485434313,0.8003375635
25,0.7030222622,0.5502262973,0.8866668087,0.5277777778,0.7651906443,0.6453140687,0.9938088697,0.7172143442,0.6441703519,0.7895858469
26,0.7976861058,0.6504205275,0.881651679,0.7361111111,0.7973550544,0.6911770535,0.8763778604,0.6522994709,0.6079061445,0.6880667918
27,0.6792880997,0.5133901833,0.8614185744,0.4305555556,0.8500127628,0.7239852436,0.9641696914,0.6871840941,0.6328247883,0.73912625
