method,raw_mean,raw_sd,centered_mean,centered_sd,paper_ref
MeanDiff,0.52034896,0.0263346237,0.5938144511,0.03014518392,
KMeans,0.5179099356,0.02723053965,0.5818436983,0.02665888211,
LogReg,0.9000733819,0.0234640243,0.9622994756,0.01813275885,
PCA,0.5179099356,0.02723053965,0.5818436983,0.02665888211,
