metric,point,mean,sd,ci_lo,ci_hi
midpoint_residual,0.6608865175,0.6648422835,0.02880422798,0.6096053652,0.7245123904
valence_offset,0.2321350814,0.2251530509,0.03492319397,0.1536539244,0.2918547953
markedness,0.6187764483,0.6245635584,0.02919593077,0.5694095813,0.6830569565
markedness_ratio,1.237552897,1.249127117,0.05839186155,1.138819163,1.366113913
apex_angle_deg,73.20412727,72.97735246,2.544439713,67.99373304,77.96407929
effective_vertices,4.917755507,4.939034921,0.1722916626,4.617511084,5.294605687
step_cosine,-0.2889628362,-0.2924623855,0.04244881475,-0.3747080016,-0.2085248844
