metric,value
span,24.80927846
midpoint_residual,0.6608865175
valence_offset,0.2321350814
markedness,0.6187764483
markedness_ratio,1.237552897
apex_angle_deg,73.20412727
effective_vertices,4.917755507
step_cosine,-0.2889628362
