metric,pooled_naive_mean,pooled_naive_std,within_scenario,n_seeds
spearman,0.7778621693,0,0.8234208491,3
kendall,0.6293713194,0,0.6802051568,3
probe_r2,0.7929523038,0.005541802401,0.8799823655,3
midpoint_residual,0.7248600449,1.359739956e-16,0.7314980455,3
pc1_frac,0.7445798509,0,0.7445798509,3
