metric,value
span,9.153816706
midpoint_residual,2.03215369
valence_offset,0.7636849241
markedness,1.883197801
markedness_ratio,3.766395601
apex_angle_deg,25.89213182
effective_vertices,13.90383776
step_cosine,-0.8996177546
