step,r_half_mean,r_half_std,R_full,n_seeds
positive-neutral,0.9834720514,5.385016442e-06,0.9916644966,3
neutral-negative,0.9933573593,1.110685992e-06,0.9966678837,3
positive-negative,0.9947338854,1.172672744e-06,0.9973598841,3
