step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.9646502931,0.001450198595,0.9820067553,0.0007516116647,3
neutral-negative,0.9486842465,0.004547368266,0.9736627296,0.002398236968,3
positive-negative,0.5932129464,0.01239784946,0.7446242646,0.009784968027,3
