layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.5726488829,0.2337527275,0.6632308364
2,-0.5860834122,0.2531493306,0.6354919672
3,-0.5410766602,0.2680370212,0.6651721597
4,-0.4659832716,0.274466455,0.7229177952
5,-0.3808680773,0.3887785077,0.7038166523
6,-0.3872336149,0.3442961574,0.7322895527
7,-0.3586711884,0.3704376221,0.73418957
8,-0.3494509459,0.3723387718,0.7394706011
9,-0.3021813631,0.4213622808,0.7371678352
10,-0.2977099419,0.4104168415,0.7483641505
11,-0.2989321947,0.4282487631,0.7343230247
12,-0.2721097469,0.4047427177,0.7697912455
13,-0.288962841,0.3972683549,0.7637578249
14,-0.2709866762,0.3975390792,0.7755243182
15,-0.31549263,0.3637491465,0.7691633701
16,-0.3028279543,0.3719996214,0.7719960213
17,-0.2734231949,0.3603793383,0.7987241745
18,-0.2648949623,0.3532640934,0.8085262179
19,-0.2883546352,0.3413084149,0.8016078472
20,-0.2895300388,0.3381206989,0.8028981686
21,-0.2954719067,0.3418651819,0.7967789769
22,-0.2906597853,0.3352108002,0.8040351868
