step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.960183577,0.0004936778992,0.9796873578,0.0002569546909,3
neutral-negative,0.9739558582,0.0005346477739,0.9868060679,0.0002744674117,3
positive-negative,0.8916648208,0.0007027894413,0.9427301486,0.0003927288737,3
