step,r_half_mean,r_half_std,R_full_mean,R_full_std,n_seeds
positive-neutral,0.786940663,0.0008786576554,0.8807684756,0.0005502290907,3
neutral-negative,0.8565763987,0.001525837878,0.922747859,0.0008850749141,3
positive-negative,0.8799880267,0.0001145192114,0.9361634348,6.480528816e-05,3
