panel,level,pc1,pc2
raw,negative,-0.6293998849,1.438871575
raw,neutral,1.088805867,-0.7108013675
raw,positive,-0.4594059825,-0.7280702074
centered,negative,-1.432421588,1.458599812
centered,neutral,1.514383451,-0.3604030612
centered,positive,-0.08196186271,-1.098196751
