metric,pooled_naive,within_scenario
spearman,0.1090316508,0.3838386973
kendall,0.08451257015,0.29447842
probe_r2,0.7790695001,0.8973644549
midpoint_residual,2.03215369,0.7857221917
pc1_frac,0.8718791718,0.8718791718
