row,positive-neutral_mean,positive-neutral_std,neutral-negative_mean,neutral-negative_std,positive-negative_mean,positive-negative_std,n_seeds
positive-neutral,1,0,-0.1753393916,2.383995647e-06,0.4965549877,1.138473789e-05,3
neutral-negative,-0.1753393916,2.383995647e-06,1,0,0.8026839469,1.316961281e-05,3
positive-negative,0.4965549877,1.138473789e-05,0.8026839469,1.316961281e-05,1,0,3
