row,MeanDiff_mean,MeanDiff_std,KMeans_mean,KMeans_std,LogReg_mean,LogReg_std,PCA_mean,PCA_std,Random_mean,Random_std,n_seeds
MeanDiff,1,0,0.9997429278,0,0.8359765861,0,0.9921071002,1.850225202e-09,0.02999370334,0.01383824472,3
KMeans,0.9997429278,0,1,0,0.8309022942,0,0.9925502696,2.080865185e-09,0.0299422746,0.01331541854,3
LogReg,0.8359765861,0,0.8309022942,0,1,0,0.7839264291,6.384616945e-09,0.01416463173,0.0135077274,3
PCA,0.9921071002,1.850225202e-09,0.9925502696,2.080865185e-09,0.7839264291,6.384616945e-09,1,0,0.0329330059,0.01288717407,3
Random,0.02999370334,0.01383824472,0.0299422746,0.01331541854,0.01416463173,0.0135077274,0.0329330059,0.01288717407,1,0,3
